Giá,Diện tích,Mặt tiền,Đường trước nhà,Số tầng,Số phòng,Số toilet,Nội thất_cơ bản,Nội thất_không,Nội thất_đầy đủ
7.4,40.0,4.0,4.0,5.0,8.0,8.0,0,1,0
6.6,42.0,4.0,6.0,3.0,2.0,3.0,0,1,0
11.5,105.0,6.0,16.0,3.0,6.0,6.0,0,1,0
17.2,85.0,5.0,4.0,6.0,16.0,16.0,0,0,1
17.5,110.0,7.0,12.0,5.0,6.0,5.0,0,0,1
35.0,445.0,13.0,20.0,1.0,4.0,4.0,0,1,0
6.8,62.0,4.0,4.0,2.0,3.0,3.0,0,1,0
6.8,62.0,4.0,4.0,2.0,3.0,3.0,0,1,0
6.8,62.0,4.0,4.0,2.0,3.0,3.0,0,1,0
5.6,91.3,1.0,1.0,1.0,1.0,1.0,0,1,0
4.5,37.0,4.0,4.0,4.0,6.0,5.0,0,1,0
4.5,37.0,4.0,4.0,4.0,6.0,5.0,0,1,0
4.5,37.0,4.0,4.0,4.0,6.0,5.0,0,1,0
4.5,37.0,4.0,4.0,4.0,6.0,5.0,0,1,0
15.0,350.0,1.0,1.0,1.0,1.0,1.0,0,1,0
920.0,80.0,5.0,8.0,2.0,2.0,2.0,0,0,1
15.8,100.0,5.0,6.0,3.0,7.0,6.0,0,1,0
4.8,39.0,4.0,6.0,3.0,4.0,3.0,0,1,0
13.8,132.0,4.0,20.0,1.0,2.0,2.0,0,1,0
26.0,135.0,5.0,6.0,6.0,6.0,7.0,0,0,1
6.1,55.0,4.0,6.0,5.0,4.0,4.0,0,0,1
2.2,44.0,7.0,3.0,1.0,1.0,1.0,0,1,0
12.0,65.0,5.0,12.0,4.0,4.0,4.0,0,1,0
20.5,128.0,6.0,8.0,3.0,7.0,7.0,0,1,0
12.5,33.0,6.0,30.0,4.0,4.0,4.0,0,0,1
8.8,46.0,1.0,6.0,4.0,1.0,1.0,0,0,1
16.0,78.0,4.0,12.0,4.0,4.0,5.0,0,0,1
5.2,36.0,4.0,5.0,4.0,3.0,3.0,0,1,0
15.9,95.0,5.0,6.0,5.0,5.0,5.0,0,1,0
3.5,37.0,4.0,3.0,2.0,2.0,2.0,0,1,0
93.0,225.0,15.0,12.0,3.0,7.0,7.0,0,1,0
12.4,172.0,4.0,10.0,4.0,4.0,4.0,0,1,0
4.3,94.0,6.0,6.0,1.0,1.0,1.0,0,1,0
