,Giá,Diện tích,Mặt tiền,Số tầng,Số phòng,Số toilet,Không,Đầy đủ,Cơ bản
32637,7.2,108.0,13,4,3,2,1,0,0
32638,7.8,154.0,13,4,1,1,1,0,0
32639,7.2,108.0,18,5,16,16,1,0,0
32640,7.8,154.0,13,4,4,1,1,0,0
32641,7.2,108.0,18,5,16,16,0,0,1
32642,7.8,499.0,13,4,1,1,1,0,0
32643,12.5,108.0,18,5,16,16,1,0,0
32644,7.4,108.0,13,4,1,1,1,0,0
32645,12.5,108.0,18,5,16,16,1,0,0
32646,7.2,108.0,13,4,1,1,1,0,0
32647,7.2,108.0,18,3,5,5,1,0,0
32648,7.2,108.0,18,3,5,5,0,0,1
32649,7.5,120.0,1,1,1,1,1,0,0
32650,7.8,392.0,13,4,3,1,1,0,0
32651,12.5,108.0,18,5,16,16,1,0,0
32652,7.8,392.0,13,4,3,1,1,0,0
32653,7.2,108.0,18,3,5,5,0,0,1
32654,1.1,131.0,5,1,1,1,1,0,0
32655,6.9,102.0,1,4,4,4,1,0,0
32656,12.5,108.0,13,6,16,12,1,0,0
32657,7.8,392.0,13,4,2,3,1,0,0
32658,48.0,108.0,18,3,5,5,0,0,1
32659,19.0,160.0,44,2,3,4,0,0,1
32660,7.8,108.0,13,4,1,1,1,0,0
32661,7.8,399.0,13,4,1,1,1,0,0
32662,9.0,120.0,11,2,3,4,0,0,1
32663,14.0,240.0,11,2,3,4,0,0,1
32664,7.2,108.0,18,3,5,5,1,0,0
32665,7.8,108.0,18,3,5,5,1,0,0
32666,3.4,154.0,18,3,5,5,1,0,0
32667,7.2,108.0,18,3,5,5,1,0,0
32668,7.6,108.0,18,3,5,5,0,0,1
32669,7.6,108.0,18,3,5,5,1,0,0
32670,8.0,120.0,11,2,4,5,0,0,1
32671,6.5,108.0,18,3,5,5,1,0,0
32672,6.8,108.0,18,3,5,5,1,0,0
32673,6.8,108.0,18,3,5,5,0,0,1
32674,6.5,108.0,18,3,5,5,0,0,1
32675,7.5,333.0,13,4,3,4,1,0,0
32676,7.5,392.0,13,4,3,1,1,0,0
32677,7.3,392.0,13,4,3,4,1,0,0
32678,7.2,333.0,13,4,5,3,1,0,0
32679,7.1,333.0,13,4,5,3,1,0,0
32680,7.3,392.0,13,4,5,4,1,0,0
32681,13.0,142.0,5,5,25,25,1,0,0
32682,8.0,108.0,25,4,4,4,1,0,0
32683,15.4,101.02365867867589,1,1,1,1,1,0,0
