,Giá,Diện tích,Mặt tiền,Số tầng,Số phòng,Số toilet,Không,Đầy đủ,Cơ bản
312,12.53065646666666,85.28612300332442,5,4,5,5,1,0,0
313,4.8,61.0,5,1,2,2,1,0,0
314,8.25,63.0,4,3,4,5,1,0,0
315,6.499,55.0,6,4,5,4,1,0,0
316,6.499,55.0,6,4,5,4,1,0,0
317,6.499,55.0,6,4,5,4,1,0,0
318,6.499,55.0,6,4,5,4,1,0,0
319,6.499,55.0,6,4,5,4,1,0,0
320,6.499,55.0,6,4,5,4,1,0,0
321,4.0,29.0,3,4,4,3,1,0,0
322,4.0,29.0,3,4,4,3,1,0,0
323,6.499,55.0,6,4,5,4,1,0,0
324,6.499,55.0,6,4,5,4,1,0,0
325,6.499,55.0,6,4,5,4,1,0,0
326,6.499,55.0,6,4,5,4,1,0,0
327,6.499,55.0,6,4,5,4,1,0,0
328,6.499,55.0,6,4,5,4,1,0,0
329,6.499,55.0,6,4,5,4,1,0,0
330,50.0,405.0,15,3,5,6,1,0,0
331,125.0,233.0,10,4,6,8,1,0,0
332,6.99,70.0,4,4,6,4,0,0,1
333,16.0,125.0,7,5,5,7,0,0,1
334,4.5,59.0,4,3,3,1,1,0,0
335,10.3,100.0,5,4,7,7,0,0,1
336,4.3,50.0,5,2,2,2,1,0,0
337,6.3,70.0,4,3,4,5,1,0,0
338,12.5,56.0,1,1,1,1,1,0,0
339,6.25885463328093,44.77414285320746,3,4,5,4,1,0,0
340,1.45,56.0,1,1,2,3,0,1,0
341,8.412090857900255,72.74182825818079,5,3,3,3,1,0,0
342,125.0,233.0,10,4,6,8,1,0,0
343,16.0,96.0,4,2,2,2,1,0,0
344,3.1,44.0,4,2,2,1,1,0,0
345,8.0,68.0,4,2,4,2,1,0,0
346,4.5,39.0,4,3,4,3,1,0,0
347,3.3,26.0,5,3,3,2,1,0,0
348,50.0,405.0,15,3,5,6,1,0,0
349,17.8,71.0,4,3,4,3,0,1,0
350,230.0,276.0,8,7,34,35,1,0,0
351,25.0,85.0,1,1,1,1,1,0,0
352,11.8,81.0,8,1,2,1,1,0,0
353,2.567,44.0,4,2,2,2,1,0,0
354,2.65,25.0,4,1,2,2,1,0,0
355,3.0,35.0,6,2,2,2,1,0,0
356,5.7,27.0,9,3,2,3,1,0,0
357,1.4,15.0,2,2,3,2,1,0,0
358,3.1,36.0,4,3,2,2,1,0,0
359,16.99,125.0,4,6,32,32,0,1,0
360,4.0,29.0,3,4,4,3,1,0,0
361,29.5,62.0,4,4,8,1,1,0,0
362,5.2,75.0,6,1,1,1,1,0,0
363,2.0,55.0,4,1,2,2,1,0,0
364,23.9,280.0,7,2,2,2,1,0,0
365,23.0,139.0,5,6,28,28,1,0,0
366,2.9,29.0,3,3,3,3,1,0,0
367,15.6,72.0,6,3,3,3,1,0,0
368,3.35,41.0,10,1,2,2,1,0,0
369,26.8,247.0,1,1,1,1,1,0,0
370,3.95,31.0,3,2,2,2,1,0,0
371,5.15,43.0,4,5,4,4,1,0,0
372,2.8,40.0,7,1,2,1,1,0,0
373,2.5,45.0,7,1,2,1,1,0,0
374,2.5,40.0,6,1,2,1,1,0,0
375,2.8,40.0,7,1,2,1,1,0,0
376,2.8,40.0,7,1,2,1,1,0,0
377,2.1,170.0,6,2,10,10,1,0,0
378,21.0,170.0,6,2,10,10,1,0,0
379,2.0,55.0,4,1,2,2,1,0,0
380,19.0,89.0,5,4,10,4,0,0,1
381,3.5,35.0,5,4,4,3,1,0,0
382,4.9,42.0,4,3,4,3,1,0,0
383,6.7246663542568585,20.0,4,3,2,3,1,0,0
384,27.0,108.0,12,4,8,1,1,0,0
385,5.8,95.0,6,2,3,3,1,0,0
386,5.3,25.0,3,2,2,2,1,0,0
